PricingGame	s1	s2	s3	s4	s5	s6	sNA
Add 'em Up	0	3	4	0	7	3	1
Any Number	154	128	102	22	224	221	2
Balance Game '06	4	12	57	72	30	34	0
Barker's Bargain Bar	210	109	94	264	51	142	0
Barker's Marker$	1	13	26	74	7	4	0
Bonkers	32	57	68	49	19	31	0
Bonus Game	16	20	54	31	62	74	0
Bullseye '76	28	43	75	63	90	114	0
Bump	38	8	26	55	1	8	0
Buy or Sell	0	17	55	74	3	6	0
Card Game	37	85	97	10	200	105	0
Check Game	149	41	80	101	24	49	2
Check-Out	3	63	96	57	94	61	1
Clearance Sale	44	8	23	18	3	3	0
Cliff Hangers	51	80	122	59	118	152	2
Clock Game	195	100	116	120	15	42	0
Coming or Going	59	88	38	91	40	76	0
Cover Up	161	89	70	17	171	147	1
Credit Card	119	35	41	58	3	6	0
Danger Price	83	67	79	114	11	30	1
Dice Game	40	108	117	14	240	239	0
Do the Math	32	39	11	28	13	18	0
Double Cross	0	0	28	34	20	27	0
Double Prices	24	86	88	421	65	185	1
Eazy az 1 2 3	109	61	56	89	15	20	0
Five Price Tags	134	46	15	4	75	31	0
Flip Flop	91	111	65	90	48	63	0
Fortune Hunter	16	9	10	7	5	0	0
Freeze Frame	124	85	87	123	37	62	0
Gallery Game	1	4	8	8	0	3	0
Gas Money	0	15	32	6	52	35	0
Give or Keep	7	8	5	0	1	8	0
Golden Road	232	1	0	0	0	0	0
Grand Game	75	205	163	51	129	104	0
Gridlock!	0	0	11	4	7	7	0
Grocery Game	40	53	103	57	96	95	0
1/2 Off	88	87	42	26	17	19	0
Hi Lo	15	51	78	55	82	143	0
Hit Me	1	33	51	18	65	100	0
Hole in One	2	176	76	4	132	13	1
Hot Seat	1	0	16	9	7	12	0
It's in the Bag	57	165	94	24	63	26	0
Joker	2	10	18	9	12	29	0
Let 'em Roll	37	91	37	6	73	18	0
Line em Up	0	11	50	21	105	67	0
Lucky $even	398	127	108	19	136	175	1
Magic #	0	24	76	88	18	56	0
Make Your Move	136	49	87	129	14	33	1
Master Key	49	48	22	7	94	56	0
Money Game	185	109	151	29	217	261	1
More or Less	0	9	43	16	41	35	0
Most Expen$ive	188	126	121	310	54	98	0
Now....or Then	13	42	68	58	68	113	0
On the Spot	0	14	10	0	2	0	0
One Away	80	107	120	12	237	219	0
1 Right Price	98	116	69	276	57	132	1
1 Wrong Price	88	88	80	135	33	51	0
Pass The Buck	0	34	30	24	124	30	0
Pathfinder	1	173	56	13	216	42	0
Pay the Rent	45	26	6	0	0	3	0
Penny Ante	0	1	23	10	30	100	0
The Phone Home Game	0	21	33	0	0	0	0
Pick-a-Number	29	49	47	128	46	100	0
Pick-a-Pair	8	36	105	74	110	167	2
Plinko	134	300	210	60	203	104	1
Pocket Change	11	35	40	21	49	24	0
Poker Game	0	30	37	96	6	8	0
Punch a Bunch	59	206	125	19	156	48	1
Push Over	136	122	63	110	51	67	0
Race Game	1	56	145	183	22	31	1
Range Game	191	147	114	165	54	117	0
Rat Race	0	0	28	11	35	34	0
Safe Crackers	147	59	51	99	15	68	0
Secret "X"	14	12	77	73	85	155	0
Shell Game	19	20	46	16	60	23	0
Shopping Spree	90	41	47	57	10	14	0
Side by Side	27	73	44	140	43	77	0
Spelling Bee	161	103	27	1	134	17	0
Split Decision	13	4	2	0	9	6	0
Squeeze Play	158	145	139	351	81	137	1
Stack the Deck	1	21	20	18	75	29	0
Step Up	28	10	18	15	4	5	0
Super Ball!!	88	6	1	0	0	0	0
$uper $aver	25	17	35	0	30	42	0
Swap Meet	70	49	61	84	12	23	0
Switch?	178	108	90	207	54	117	0
Switcheroo	89	68	17	5	91	39	1
Take Two	0	34	109	143	13	38	1
Temptation	72	90	88	6	82	31	0
10 Chances	0	114	121	11	115	46	0
That's Too Much!	51	55	74	39	161	112	0
3 Strikes	81	128	64	1	105	33	1
Time i$ Money	0	3	32	20	18	18	0
Triple Play	75	4	6	0	0	2	0
2 for the Price of 1	74	44	54	86	20	59	0
Vend-O-Price	14	12	12	11	11	7	00